id;first_name;last_name;email;address;phone
1;Roberto;Crespo;Elena52@hotmail.com;synthesize compressing;975 794 823
2;Irene;Farías;JosLuis86@hotmail.com;Coordinador world-class Adaptativo;979 075 023
3;Raquel;Sánchez;Magdalena60@hotmail.com;compressing Rampa Cine;989017532
4;Ramona;Rincón;Sergio_Mota@yahoo.com;Multi;990.668.611
5;Ignacio;Gaitán;Leticia.Lemus@yahoo.com;online;974-062-952
6;Alicia;Velázquez;MaraJos22@hotmail.com;Plástico;927.510.494
7;Reina;Urbina;JorgeLuis_Cazares@gmail.com;Borders;988293651
8;Óscar;Corral;Agustn.Carrillo94@gmail.com;Fantástico;920-213-935
9;Pablo;Magaña;JosEmilio.Rael53@gmail.com;Cambridgeshire Algodón;938885907
10;Estela;Villegas;Antonio.Mrquez@hotmail.com;Web Sopa;907-649-944
